date,store_id,product_category,sales,promotion,holiday
2023-01-01,store_1,Electronics,8798,0,1
2023-01-01,store_1,Clothing,5763,0,1
2023-01-01,store_1,Grocery,4423,0,1
2023-01-01,store_1,Home,6057,0,1
2023-01-01,store_1,Beauty,5640,0,1
2023-01-01,store_2,Electronics,7645,0,1
2023-01-01,store_2,Clothing,5070,0,1
2023-01-01,store_2,Grocery,4388,0,1
2023-01-01,store_2,Home,6884,0,1
2023-01-01,store_2,Beauty,6034,1,1
2023-01-01,store_3,Electronics,8529,0,1
2023-01-01,store_3,Clothing,6045,0,1
2023-01-01,store_3,Grocery,4262,0,1
2023-01-01,store_3,Home,5650,0,1
2023-01-01,store_3,Beauty,5710,0,1
2023-01-01,store_4,Electronics,7392,0,1
2023-01-01,store_4,Clothing,4043,0,1
2023-01-01,store_4,Grocery,4872,0,1
2023-01-01,store_4,Home,6556,0,1
2023-01-01,store_4,Beauty,4164,0,1
2023-01-01,store_5,Electronics,10642,0,1
2023-01-01,store_5,Clothing,9136,1,1
2023-01-01,store_5,Grocery,4522,0,1
2023-01-01,store_5,Home,9259,1,1
2023-01-01,store_5,Beauty,5217,0,1
2023-01-01,store_6,Electronics,11410,0,1
2023-01-01,store_6,Clothing,5095,0,1
2023-01-01,store_6,Grocery,5934,0,1
2023-01-01,store_6,Home,7084,0,1
2023-01-01,store_6,Beauty,4688,0,1
2023-01-01,store_7,Electronics,11614,0,1
2023-01-01,store_7,Clothing,6373,1,1
2023-01-01,store_7,Grocery,4638,0,1
2023-01-01,store_7,Home,8062,0,1
2023-01-01,store_7,Beauty,5615,0,1
2023-01-01,store_8,Electronics,7499,0,1
2023-01-01,store_8,Clothing,6541,0,1
2023-01-01,store_8,Grocery,4381,0,1
2023-01-01,store_8,Home,5806,0,1
2023-01-01,store_8,Beauty,5471,0,1
2023-01-01,store_9,Electronics,6647,0,1
2023-01-01,store_9,Clothing,6873,1,1
2023-01-01,store_9,Grocery,4750,0,1
2023-01-01,store_9,Home,6151,0,1
2023-01-01,store_9,Beauty,6946,0,1
2023-01-01,store_10,Electronics,8372,0,1
2023-01-01,store_10,Clothing,5815,0,1
2023-01-01,store_10,Grocery,4729,0,1
2023-01-01,store_10,Home,6525,0,1
2023-01-01,store_10,Beauty,6902,1,1
2023-01-02,store_1,Electronics,6874,0,0
2023-01-02,store_1,Clothing,5753,0,0
2023-01-02,store_1,Grocery,4420,0,0
2023-01-02,store_1,Home,6933,0,0
2023-01-02,store_1,Beauty,4242,0,0
2023-01-02,store_2,Electronics,8758,0,0
2023-01-02,store_2,Clothing,4383,0,0
2023-01-02,store_2,Grocery,4118,0,0
2023-01-02,store_2,Home,6844,0,0
2023-01-02,store_2,Beauty,6528,1,0
2023-01-02,store_3,Electronics,6812,0,0
2023-01-02,store_3,Clothing,3800,0,0
2023-01-02,store_3,Grocery,3666,0,0
2023-01-02,store_3,Home,7079,0,0
2023-01-02,store_3,Beauty,4683,0,0
2023-01-02,store_4,Electronics,8473,0,0
2023-01-02,store_4,Clothing,3893,0,0
2023-01-02,store_4,Grocery,4458,0,0
2023-01-02,store_4,Home,7093,0,0
2023-01-02,store_4,Beauty,5422,0,0
2023-01-02,store_5,Electronics,6001,0,0
2023-01-02,store_5,Clothing,6291,0,0
2023-01-02,store_5,Grocery,4985,0,0
2023-01-02,store_5,Home,7206,0,0
2023-01-02,store_5,Beauty,4027,0,0
2023-01-02,store_6,Electronics,7211,0,0
2023-01-02,store_6,Clothing,5463,0,0
2023-01-02,store_6,Grocery,4336,0,0
2023-01-02,store_6,Home,5429,0,0
2023-01-02,store_6,Beauty,5232,0,0
2023-01-02,store_7,Electronics,7596,0,0
2023-01-02,store_7,Clothing,6153,0,0
2023-01-02,store_7,Grocery,4335,0,0
2023-01-02,store_7,Home,7370,0,0
2023-01-02,store_7,Beauty,4899,0,0
2023-01-02,store_8,Electronics,10019,1,0
2023-01-02,store_8,Clothing,5378,0,0
2023-01-02,store_8,Grocery,3615,1,0
2023-01-02,store_8,Home,6958,0,0
2023-01-02,store_8,Beauty,4540,0,0
2023-01-02,store_9,Electronics,10488,1,0
2023-01-02,store_9,Clothing,4848,0,0
2023-01-02,store_9,Grocery,3550,0,0
2023-01-02,store_9,Home,6974,0,0
2023-01-02,store_9,Beauty,6119,1,0
2023-01-02,store_10,Electronics,8014,0,0
2023-01-02,store_10,Clothing,5179,0,0
2023-01-02,store_10,Grocery,4520,0,0
2023-01-02,store_10,Home,8774,0,0
2023-01-02,store_10,Beauty,4904,0,0
2023-01-03,store_1,Electronics,9395,0,0
2023-01-03,store_1,Clothing,8821,1,0
2023-01-03,store_1,Grocery,4945,0,0
2023-01-03,store_1,Home,6412,0,0
2023-01-03,store_1,Beauty,8979,1,0
2023-01-03,store_2,Electronics,8185,0,0
2023-01-03,store_2,Clothing,6902,0,0
2023-01-03,store_2,Grocery,3879,0,0
2023-01-03,store_2,Home,10405,0,0
2023-01-03,store_2,Beauty,4934,0,0
2023-01-03,store_3,Electronics,11547,0,0
2023-01-03,store_3,Clothing,4944,0,0
2023-01-03,store_3,Grocery,7087,1,0
2023-01-03,store_3,Home,7020,0,0
2023-01-03,store_3,Beauty,6512,0,0
2023-01-03,store_4,Electronics,9262,0,0
2023-01-03,store_4,Clothing,6987,0,0
2023-01-03,store_4,Grocery,4887,0,0
2023-01-03,store_4,Home,6994,0,0
2023-01-03,store_4,Beauty,6994,0,0
2023-01-03,store_5,Electronics,9078,0,0
2023-01-03,store_5,Clothing,5918,0,0
2023-01-03,store_5,Grocery,6530,1,0
2023-01-03,store_5,Home,8895,0,0
2023-01-03,store_5,Beauty,5422,0,0
2023-01-03,store_6,Electronics,8965,0,0
2023-01-03,store_6,Clothing,7097,0,0
2023-01-03,store_6,Grocery,3814,0,0
2023-01-03,store_6,Home,6842,0,0
2023-01-03,store_6,Beauty,4751,0,0
2023-01-03,store_7,Electronics,10242,0,0
2023-01-03,store_7,Clothing,5008,0,0
2023-01-03,store_7,Grocery,6127,1,0
2023-01-03,store_7,Home,7382,0,0
2023-01-03,store_7,Beauty,6349,0,0
2023-01-03,store_8,Electronics,10377,0,0
2023-01-03,store_8,Clothing,6159,0,0
2023-01-03,store_8,Grocery,3685,0,0
2023-01-03,store_8,Home,6484,0,0
2023-01-03,store_8,Beauty,5770,0,0
2023-01-03,store_9,Electronics,12091,0,0
2023-01-03,store_9,Clothing,5433,0,0
2023-01-03,store_9,Grocery,4189,0,0
2023-01-03,store_9,Home,6342,0,0
2023-01-03,store_9,Beauty,7789,0,0
2023-01-03,store_10,Electronics,10271,0,0
2023-01-03,store_10,Clothing,8019,0,0
2023-01-03,store_10,Grocery,4262,0,0
2023-01-03,store_10,Home,6954,0,0
2023-01-03,store_10,Beauty,6916,0,0
2023-01-04,store_1,Electronics,11929,0,0
2023-01-04,store_1,Clothing,6809,0,0
2023-01-04,store_1,Grocery,5440,0,0
2023-01-04,store_1,Home,11207,0,0
2023-01-04,store_1,Beauty,7200,1,0
2023-01-04,store_2,Electronics,11495,0,0
2023-01-04,store_2,Clothing,6902,0,0
2023-01-04,store_2,Grocery,5843,0,0
2023-01-04,store_2,Home,6645,0,0
2023-01-04,store_2,Beauty,6739,0,0
2023-01-04,store_3,Electronics,10277,0,0
2023-01-04,store_3,Clothing,7838,0,0
2023-01-04,store_3,Grocery,4062,0,0
2023-01-04,store_3,Home,7699,0,0
2023-01-04,store_3,Beauty,6825,0,0
2023-01-04,store_4,Electronics,10372,0,0
2023-01-04,store_4,Clothing,8242,0,0
2023-01-04,store_4,Grocery,6619,0,0
2023-01-04,store_4,Home,9920,1,0
2023-01-04,store_4,Beauty,4775,0,0
2023-01-04,store_5,Electronics,13487,0,0
2023-01-04,store_5,Clothing,6498,0,0
2023-01-04,store_5,Grocery,5113,0,0
2023-01-04,store_5,Home,7898,0,0
2023-01-04,store_5,Beauty,5250,0,0
2023-01-04,store_6,Electronics,8942,0,0
2023-01-04,store_6,Clothing,5937,0,0
2023-01-04,store_6,Grocery,4256,0,0
2023-01-04,store_6,Home,8434,0,0
2023-01-04,store_6,Beauty,7252,1,0
2023-01-04,store_7,Electronics,8663,0,0
2023-01-04,store_7,Clothing,5323,0,0
2023-01-04,store_7,Grocery,5013,0,0
2023-01-04,store_7,Home,9480,0,0
2023-01-04,store_7,Beauty,5299,0,0
2023-01-04,store_8,Electronics,9488,0,0
2023-01-04,store_8,Clothing,5413,0,0
2023-01-04,store_8,Grocery,6027,0,0
2023-01-04,store_8,Home,6957,0,0
2023-01-04,store_8,Beauty,6273,0,0
2023-01-04,store_9,Electronics,7140,0,0
2023-01-04,store_9,Clothing,6232,0,0
2023-01-04,store_9,Grocery,4068,0,0
2023-01-04,store_9,Home,6106,0,0
2023-01-04,store_9,Beauty,6277,0,0
2023-01-04,store_10,Electronics,9672,0,0
2023-01-04,store_10,Clothing,6240,0,0
2023-01-04,store_10,Grocery,4824,0,0
2023-01-04,store_10,Home,7351,0,0
2023-01-04,store_10,Beauty,5378,0,0
2023-01-05,store_1,Electronics,7533,0,0
2023-01-05,store_1,Clothing,4719,0,0
2023-01-05,store_1,Grocery,4062,0,0
2023-01-05,store_1,Home,5993,0,0
2023-01-05,store_1,Beauty,5985,0,0
2023-01-05,store_2,Electronics,8324,0,0
2023-01-05,store_2,Clothing,5800,0,0
2023-01-05,store_2,Grocery,5552,0,0
2023-01-05,store_2,Home,5549,0,0
2023-01-05,store_2,Beauty,4545,0,0
2023-01-05,store_3,Electronics,8105,0,0
2023-01-05,store_3,Clothing,6877,1,0
2023-01-05,store_3,Grocery,4890,0,0
2023-01-05,store_3,Home,6059,0,0
2023-01-05,store_3,Beauty,4445,0,0
2023-01-05,store_4,Electronics,7707,0,0
2023-01-05,store_4,Clothing,6977,0,0
2023-01-05,store_4,Grocery,5249,0,0
2023-01-05,store_4,Home,6582,0,0
2023-01-05,store_4,Beauty,4693,0,0
2023-01-05,store_5,Electronics,8159,0,0
2023-01-05,store_5,Clothing,6068,0,0
2023-01-05,store_5,Grocery,5024,0,0
2023-01-05,store_5,Home,6673,0,0
2023-01-05,store_5,Beauty,5277,0,0
2023-01-05,store_6,Electronics,9292,0,0
2023-01-05,store_6,Clothing,5799,0,0
2023-01-05,store_6,Grocery,4335,0,0
2023-01-05,store_6,Home,7748,0,0
2023-01-05,store_6,Beauty,5372,0,0
2023-01-05,store_7,Electronics,9843,0,0
2023-01-05,store_7,Clothing,4890,0,0
2023-01-05,store_7,Grocery,4052,0,0
2023-01-05,store_7,Home,6903,0,0
2023-01-05,store_7,Beauty,4393,0,0
2023-01-05,store_8,Electronics,8997,0,0
2023-01-05,store_8,Clothing,5759,0,0
2023-01-05,store_8,Grocery,5817,0,0
2023-01-05,store_8,Home,5280,0,0
2023-01-05,store_8,Beauty,6054,0,0
2023-01-05,store_9,Electronics,9555,0,0
2023-01-05,store_9,Clothing,4858,0,0
2023-01-05,store_9,Grocery,5843,0,0
2023-01-05,store_9,Home,7894,0,0
2023-01-05,store_9,Beauty,6389,0,0
2023-01-05,store_10,Electronics,9927,0,0
2023-01-05,store_10,Clothing,5857,0,0
2023-01-05,store_10,Grocery,5466,0,0
2023-01-05,store_10,Home,5267,0,0
2023-01-05,store_10,Beauty,4529,0,0
